Título	Director	Idioma original	País	Duración	Número de personas que calificaron la película 	Calificación promedio de 0 a 5	Año de lanzamiento	Plataforma	Categoría	Presupuesto	Recaudación	Mes de visualización	Número de premios	Numero de Oscar
Jarhead	Sam Mendes	English	USA	123	100198	3,6	2005	MyCanal	War	72000000	97076152	5-1-23	6	0
Armageddon Time	James Gray	English	USA	114	43438	3,4	2022	Downloading	Drama	15000000	6100000	4-1-23	3	0
John Wick : Chapter 4	Chad Stahelski	English	USA	170	435336	4	2023	Cine	Action	90000000	426978565	4-1-23	1	0
Sisu	Jalmari Helander	Finnish	Finland	91	69201	3,3	2023	Downloading	Action	6200000	13009289	3-1-23	4	0
Athena	Romain Gavras	French	France	97	45247	3,5	2022	Netflix	Thriller	15000000	10000000	1-1-23	3	0
Novembre (November)	Cédric Jimenez	French	France	105	10961	3,3	2022	MyCanal	Crime	17700000	18114769	2-1-23	0	0
BAC Nord (The Stronghold)	Cédric Jimenez	French	France	105	14242	3,4	2021	Downloading	Crime	13000000	18000000	1-1-23	0	0
Boîte Noire (Black Box)	Yann Gozlan	French	France	130	14359	3,6	2021	MyCanal	Thriller	10722240	9738741	2-1-23	1	0
Les Misérables	Ladj Ly	French	France	103	45486	3,8	2019	MyCanal	Crime	2200000	10000000	4-1-23	23	0
Le Chant du loup (The Wolf's Call)	Antonin Baudry	French	France	115	16222	3,5	2019	MyCanal	Thriller	22400000	12652790	4-1-23	1	0
Polisse	Maïwenn	French	France	123	10411	3,8	2011	MyCanal	Thriller	7200000	20374201	6-1-23	7	0
Léon: The Professional	Luc Besson	English	USA	111	610458	4	1994	Downloading	Crime	16000000	45284974	6-1-23	5	0
Tirailleurs (Father & Soldier)	Mathieu Vadepied	French	France	109	5058	3,2	2022	MyCanal	History	14000000	8600000	5-1-23	1	0
La Nuit du 12 (The Night of the 12th)	Dominik Moll	French	France	114	18412	3,5	2022	MyCanal	Crime	5000000	3467232	6-1-23	11	0
Les Trois Mousquetaires: D'Artagnan (The Three Musketeers: D’Artagnan)	Martin Bourboulon	French	France	121	22934	3,4	2023	Cine	Adventure	27500000	31165459	4-1-23	1	0
Tetris	Jon S. Baird	English	UK	118	93000	3,4	2023	MyCanal	History	80000000	100000000	4-1-23	0	0
Le Sommet des dieux (The Summit of the Gods)	Patrick Imbert	French	France	95	24277	4	2021	Downloading	Animation	9850000	1756552	3-1-23	2	0
L'Empereur de Paris (The Emperor of Paris)	Jean-François Richet	French	France	121	2096	2	2018	MyCanal	Crime	25600000	7708262	5-1-23	0	0
Catch Me If You Can	Steven Spielberg	English	USA	141	816500	4	2002	Netflix	Crime	52000000	352114312	6-1-23	16	0
Saving Private Ryan	Steven Spielberg	English	USA	169	601448	4,2	1998	Downloading	War	70000000	481840909	6-1-23	79	5
Transformers: Rise of the Beasts	Steven Caple Jr.	English	USA	127	126367	2,7	2023	Cine	Action	195000000	429800000	6-1-23	0	0
Oppenheimer	Christopher Nolan	English	USA	181	1164757	4,3	2023	Cine	History	100000000	912832975	8-1-23	2	0
